## RECSRecommendations Upload File
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.
## RECS
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin
1,Healthy Living,Patient,Tips for a Healthy Life,https://publish-p117752-e1147566.adobeaemcloud.com/content/dam/oshynclouddemo/blogs/1.jpg,High,https://publish-p117752-e1147566.adobeaemcloud.com/us/en/blog/blog1.html,Available,15%
2,MedPro Insights,Medical Provider,Latest Medical Trends,https://publish-p117752-e1147566.adobeaemcloud.com/content/dam/oshynclouddemo/blogs/2.jpg,Moderate,https://publish-p117752-e1147566.adobeaemcloud.com/us/en/blog/blog2.html,Limited,20%
3,Wellness Wisdom,Patient,Holistic Health Advice,https://publish-p117752-e1147566.adobeaemcloud.com/content/dam/oshynclouddemo/blogs/3.jpg,Low,https://publish-p117752-e1147566.adobeaemcloud.com/us/en/blog/blog3.html,In Stock,10%
4,MedTech Today,Medical Provider,Advancements in Technology,https://publish-p117752-e1147566.adobeaemcloud.com/content/dam/oshynclouddemo/blogs/4.jpg,High,https://publish-p117752-e1147566.adobeaemcloud.com/us/en/blog/blog4.html,Limited,25%
5,Healthy Families,Patient,Family Wellness Tips,https://publish-p117752-e1147566.adobeaemcloud.com/content/dam/oshynclouddemo/blogs/5.jpg,Moderate,https://publish-p117752-e1147566.adobeaemcloud.com/us/en/blog/blog5.html,Available,18%
6,Cardiology Corner,Medical Provider,Cardiac Health Insights,https://publish-p117752-e1147566.adobeaemcloud.com/content/dam/oshynclouddemo/blogs/6.jpg,High,https://publish-p117752-e1147566.adobeaemcloud.com/us/en/blog/blog6.html,Limited,22%
7,NutriHealth Today,Patient,Nutritional Tips,https://publish-p117752-e1147566.adobeaemcloud.com/content/dam/oshynclouddemo/blogs/7.jpg,Moderate,https://publish-p117752-e1147566.adobeaemcloud.com/us/en/blog/blog7.html,In Stock,12%
8,PharmaNews Digest,Medical Provider,Pharmaceutical Updates,https://publish-p117752-e1147566.adobeaemcloud.com/content/dam/oshynclouddemo/blogs/8.jpg,High,https://publish-p117752-e1147566.adobeaemcloud.com/us/en/blog/blog8.html,Limited,28%
9,MentalWellbeing Hub,Patient,Mental Health Support,https://publish-p117752-e1147566.adobeaemcloud.com/content/dam/oshynclouddemo/blogs/9.jpg,Low,https://publish-p117752-e1147566.adobeaemcloud.com/us/en/blog/blog9.html,Available,15%
10,Surgical Solutions,Medical Provider,Surgical Procedures,https://publish-p117752-e1147566.adobeaemcloud.com/content/dam/oshynclouddemo/blogs/10.jpg,High,https://publish-p117752-e1147566.adobeaemcloud.com/us/en/blog/blog10.html,Limited,30%
